H,W,Z
168,57,400
160,60,800
168,55,400
147,38,200
173,65,150
175,58,550
154,49,700
160,48,400
173,70,800
161,45,0
168,54,400
179,82,600
172,78,520
155,46,100
179,69,0
160,45,100
174,52,600
184,80,800
156,53,300
180,65,200
162,61,300
173,60,150
175,58,60
178,60,200
160,55,125
170,80,700
152,50,200
174,62,100
157,48,500
168,53,500
175,55,400
170,60,250
172,90,200
159,52,150
175,60,400
180,60,300
169,70,600
163,43,500
171,75,325
165,63,50
155,48,0
187,65,400
156,45,500
169,69,450
155,43,500
160,70,50
180,60,250
172,65,150
167,62,200
151,55,550
159,55,0
172,60,325
147,38,200
172,60,200
160,53,200
163,56.8,0
172,90,250
183,75,300
155,45,350
174,53,600
174,56.7,300
170,60,350
170,85,50
165,85,100
165,60,400
168,67,200
168,60,0
176,73,200
174,62,400
180.1,63.6,500
161,50,650
178,65,500
